序号,省份,地市,区县,生产经营场所地址,污水处理厂名称,运营单位,排污许可证编号,"设计处理能力
（万吨/日）","2019年实际处理
水量（万吨）"
151,北京市,市辖区,通州区,马驹桥镇柴务村,马驹桥镇再生水厂,"中节能运龙（北京）
水务科技有限公司",91110112353013392W003R,2,608.32
152,北京市,市辖区,通州区,宋庄镇千章墅,"宋庄镇寨辛庄再生
水厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W005R,0.4,26.76
153,北京市,市辖区,通州区,台湖镇北京火柴厂,台湖第二再生水厂,"中节能运龙（北京）
水务科技有限公司",91110112353013392W001R,1,232.36
154,北京市,市辖区,通州区,"西集镇通香路北侧
科创三街与新益路
夹角处","西集镇次中心再生
水厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W013R,0.3,7.82
155,北京市,市辖区,通州区,西集镇何各庄村,"西集镇中心区再生
水厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W004R,0.2,4.49
156,北京市,市辖区,通州区,"永乐店镇经济开发
区东部","永乐店第二再生水
厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W002R,0.1,22.72
157,北京市,市辖区,通州区,永乐店镇坚村,"永乐店镇中心污水
处理厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W012R,1,46.7
158,北京市,市辖区,通州区,于家务乡小海子村,"于家务次中心再生
水厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W008R,0.5,138.06
159,北京市,市辖区,通州区,于家务乡西马坊村,"于家务中心区再生
水厂",于家务乡政府,91110112353013392W009R,1,365
160,北京市,市辖区,通州区,张家湾镇牛堡屯,"张家湾镇牛堡屯污
水处理厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W006R,0.3,10.5
161,北京市,市辖区,通州区,张家湾镇环湖小镇,"张家湾镇西定福庄
污水处理厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W011R,0.2,35.6
162,北京市,市辖区,通州区,宋庄镇双埠头村,"双埠头村南坑污水
处理站","中天蓝瑞环保科技
（北京）有限公司",91110112335593637A002U,0.06,12.75
163,北京市,市辖区,大兴区,"魏善庄镇魏善庄村
村东大龙河南岸","北京市大兴区魏善
庄镇再生水厂","中通和城水务（北
京）有限公司",91110115MA01B6207J001U,1.2,29.9
164,北京市,市辖区,大兴区,"黄村镇侯村市场南
路（原奥宇物流东
区）","黄村镇联村污水处
理厂","中通京南水务有限
公司",91110115MA019AYQ3B002R,2,23.87
165,北京市,市辖区,"门头沟
区","大台街道办事处对
面","中通京西水务有限
公司—北京市门头
沟区大台社区污水
处理站","中通京西水务有限
公司—北京市门头
沟区大台社区污水
处理站",91110109MA018M140T001W,0.15,35.35
166,北京市,市辖区,大兴区,"采育镇京津塘科技
园园区中路1号","重庆康达环保产业
（集团）有限公司
北京采育污水处理
厂","重庆康达环保产业
（集团）有限公司
北京采育污水处理
厂",9111011576753864XG001X,1.5,198.59
167,天津市,市辖区,"滨海新
区","裕川微生物制品有限
公司以北、新裕道以
南、新河东干渠以东、
塘汉路以西",北塘污水处理厂,"天津滨海新区环塘污
水处理有限公司",91120116553407855J001Z,15,4886
168,天津市,市辖区,"滨海新
区","西部新城起步区东北
角","滨海新区塘沽西部新
城中水处理站","天津市塘沽鑫宇环保
科技有限公司",9112011673282294XK001Q,2.6,523.9
169,天津市,市辖区,"滨海新
区","大港油田红旗路东延
路与东风五路之间","大港油田港东污水处
理厂","天津万峰环保科技有
限公司",911200006714623457001X,1.2,455.02
170,天津市,市辖区,"滨海新
区","大港油田丰收道与创
业路交口","大港油田港西污水处
理厂","大港油田集团供水公
司",911200006714623457002Z,0.8,257.92
171,天津市,市辖区,"滨海新
区",港西街联盟村南,"海滨街港西污水处理
厂","天津鑫达环保科技有
限公司",91120116093710131Q005U,0.2,13.08
172,天津市,市辖区,"滨海新
区","大港南部-海滨街西
区，泰康道北侧，天
津天瑞水泥有限公司
西侧","海滨街远景污水处理
站","天津鑫达环保科技有
限公司",91120116093710131Q003V,0.2,1.01
173,天津市,市辖区,"滨海新
区",太平镇,"太平镇所属示范镇一
期污水处理站","天津鑫达环保科技有
限公司",91120116093710131Q004V,0.15,28.57
174,天津市,市辖区,"滨海新
区",太平镇太平村,"太平镇镇中心污水处
理站","天津鑫达环保科技有
限公司",91120116093710131Q001V,0.1,29.87
175,天津市,市辖区,"滨海新
区","大港汉港公路
1838-112号","大港港东新城污水处
理厂","天津滨海新区环塘污
水处理有限公司",91120116553407855J002Y,1.25,344.1
176,天津市,市辖区,"滨海新
区","保税区京门大道272
号","天津港保税区污水处
理厂","天津万峰环保科技有
限公司",91120118718247096G001V,1.5,276
177,天津市,市辖区,"滨海新
区","北疆港区新港四号路
与东堤路交口","天津港北疆污水处理
厂","天津津港基础设施养
护运营工程管理有限
公司",91120116103621643H001W,0.4,20.59
178,天津市,市辖区,"滨海新
区","南疆港区南疆路3666
号","天津港南疆污水处理
厂","天津津港基础设施养
护运营工程管理有限
公司",91120116103621643H002V,0.18,9.11
179,天津市,市辖区,"滨海新
区","经济技术开发区中区
东南角市政公用设施
地块内中北部","开发区中区临时污水
处理站","天津市联合环保工程
设计有限公司",11120116MB1776601A001R,0.09,9.15
180,天津市,市辖区,"滨海新
区","空港经济区东八道18
号","天津空港经济区污水
处理厂","天津空港经济区水务
有限公司",91120116749111095P001Y,5,1715
181,天津市,市辖区,"滨海新
区","保税区（临港区域）
黄河道2328号","天津临港胜科水务有
限公司","天津临港胜科水务有
限公司",91120116666104148M001W,1,291.2
182,天津市,市辖区,"滨海新
区","南片区大港石化产业
园区迎宾街1011--95
号","大港石化产业园区污
水处理厂","天津睿溪水务有限公
司",911201163410515511001Q,1,154.49
183,天津市,市辖区,"滨海新
区","中新生态城中生大道
与静湖西路交口","天津生态城水处理中
心","天津生态城水务投资
建设有限公司、天津
创业环保集团股份有
限公司",91120116575144398M001X,10,3024.71
184,天津市,市辖区,"滨海新
区","南港工业园区海港路
与创新路交口","南港工业区污水处理
厂","天津市瑞德赛恩水业
有限公司",91120116553431070K001V,0.25,38.52
185,天津市,市辖区,"滨海新
区",大港石化产业园区,"天津市瑞德赛恩水业
有限公司环科提标及
扩建污水处理厂","天津市瑞德赛恩水业
有限公司",91120116598703244E001U,1.95,549.93
186,天津市,市辖区,"滨海新
区","塘沽营口道931号泛
华国际大厦26层F室","天津市塘滨市政工程
有限责任公司南排河
污水处理厂","天津市塘滨市政工程
有限责任公司南排河
污水处理厂",91120116794997745K001Q,5,782.2
187,天津市,市辖区,"滨海新
区","经济技术开发区南海
路188号","天津经济技术开发区
污水处理厂（东区）","天津泰达威立雅水务
有限公司",91120116663055985N001X,10,3617.63
188,天津市,市辖区,"滨海新
区","经济技术开发区汉沽
现代产业区泰山路39
号","天津经济技术开发区
汉沽现代产业区污水
处理厂","天津泰达新水源科技
开发有限公司",91120116730387534P003R,0.2,70.2
189,天津市,市辖区,"滨海新
区","经济技术开发区西区
中心庄路以东、杨北
公路以南、蓟港铁路
以北","天津泰达新水源科技
开发有限公司（一期
污水处理厂）","天津泰达新水源科技
开发有限公司",91120116730387534P001R,5,1098
190,天津市,市辖区,"滨海新
区","临港经济区渤海十路
3369号","天津威立雅渤化永利
水务有限责任公司","天津威立雅渤化永利
水务有限责任公司",91120116668841213G001Z,2.3,312.9
191,天津市,市辖区,"滨海新
区","中塘工业区万安路北
侧、鹏翎路西侧","天津市滨海新区中塘
污水厂","黑龙江碧水源环保工
程有限公司",91120116690680241L001R,0.5,135
192,天津市,市辖区,"滨海新
区","北环铁路以北，津汉
联络线以南，滨海 2
号线以西范围内","滨海高新区污水处理
厂","中海油（天津）污水
处理项目管理有限公
司",91120116556520714P001U,1,286.57
193,天津市,市辖区,"滨海新
区",渤海石油渤港南一路,"渤海石油港区污水处
理厂","中海油节能环保服务
有限公司",911201165864363373001W,0.06,7.4
194,天津市,市辖区,"滨海新
区",中塘镇北台村,"中塘镇栖凤里污水处
理站","天津鑫达环保科技有
限公司",91120116093710131Q002V,0.1,18.11
195,天津市,市辖区,"滨海新
区",塘沽海洋科技园,"中翔（天津）水业发
展有限公司新河污水
提标及再生水厂","中翔（天津）水业发
展有限公司",9112011676433350XD001V,12,2102
196,天津市,市辖区,"滨海新
区","大港经济开发区安元
路与康达街交口",安达污水处理厂,"天津市大港经济开发
区总公司",91120116103711198L001V,0.2,76.65
197,天津市,市辖区,"滨海新
区","临港经济区淮河道与
渤海十八路交口","天津市青沅水处理技
术有限公司","天津市青沅水处理技
术有限公司",911201163286670799001V,10,95
198,天津市,市辖区,北辰区,"大张庄镇大兴庄村对
过","北辰区大双污水处理
厂","凯发新泉（天津）污
水处理有限公司",911201136974071686001C,8,1494.35
199,天津市,市辖区,北辰区,"津榆公路与杨北公路
交叉口西北角","山东水发环境科技有
限公司","山东水发环境科技有
限公司—西堤头丰产
河段污水处理站3000",913708277924798642004R,0.3,80.76
200,天津市,市辖区,北辰区,"津榆公路与聚康路交
叉口垃圾处理站附近","山东水发环境科技有
限公司","山东水发环境科技有
限公司—西堤头丰产
河段污水处理站8000",913708277924798642005R,0.8,215.18
201,天津市,市辖区,北辰区,"北仓镇外环北路28
公里处",北仓污水处理厂,"天津创业环保集团股
份有限公司北仓污水
处理厂",91120000MA05JA23XE001Y,15,4001.28
202,天津市,市辖区,北辰区,西堤头镇,"天津海川环保工程有
限公司","天津海川环保工程有
限公司西堤头污水处
理厂",91120222559454257P001R,0.8,219.7
203,天津市,市辖区,北辰区,双口镇中河头村,"天津市华博水务有限
公司(北辰双青污水
处理厂)","天津市华博水务有限
公司(北辰双青污水
处理厂)",91120102694053958H005V,4,1393.95
204,天津市,市辖区,北辰区,科技园华丰路,"天津市华博水务有限
公司北辰科技园区污
水处理厂应急提标改
造工程","天津市华博水务有限
公司北辰科技园区污
水处理厂应急提标改
造工程",91120102694053958H004R,5,1282.85
205,天津市,市辖区,西青区,海泰北道2号,"天津创业环保集团股
份有限公司咸阳路污
水处理厂","天津创业环保集团股
份有限公司",91120000103065501J001Z,15,10502
206,天津市,市辖区,西青区,"独流减河与陈台子排
水河交口西北侧","天津创业环保集团股
份有限公司咸阳路污
水处理厂（新厂)","天津创业环保集团股
份有限公司",91120000103065501J004Q,45,9339
207,天津市,市辖区,西青区,"开发区四期用地，总
排河东侧、大沽排污
河北侧的石庄子村内",大寺污水处理厂,"天津市赛达恒洁环保
科技有限公司",91120111794994915X001X,6,1865.45
208,天津市,市辖区,津南区,"经济开发区东区宝源
路45号",双桥污水处理厂,津南双桥污水处理厂,91120102694053958H007R,1.5,249.32
209,天津市,市辖区,津南区,八里台镇大孙庄西侧,"天津创业环保集团股
份有限公司津沽污水
处理厂","天津创业环保集团股
份有限公司",91120000103065501J003Z,65,21551.65
210,天津市,市辖区,津南区,"福鑫路与聚园道交口
以东",咸水沽污水处理厂,"天津市华博水务有限
公司",91120102694053958H003Y,3,634.76
211,天津市,市辖区,津南区,"八里台镇二八线幸福
河桥西100米",双林污水处理厂,"天津市华博水务有限
公司",91120102694053958H006R,4,1422.67
212,天津市,市辖区,津南区,"咸水沽镇周辛庄村东
侧",环科污水处理厂,"天津市津南区环科污
水处理有限公司",911201127466629164001V,3,1081.5
213,天津市,市辖区,津南区,小站镇黄台工业区,黄台污水处理厂,"天津中天海盛环保科
技有限公司",911201165503647224001R,0.15,43.5
214,天津市,市辖区,东丽区,航新路629号,"天津创业环保集团股
份有限公司张贵庄污
水处理厂","天津创业环保集团股
份有限公司",91120000103065501J002Q,22,7990.83
215,天津市,市辖区,东丽区,登州路1#,"天津创业环保集团股
份有限公司东郊污水
处理厂","天津创业环保集团股
份有限公司东郊污水
处理厂",911201100865735896001U,40,15059.99
216,天津市,市辖区,东丽区,"东丽湖金钟河南道与
景荟路交口西南侧","东丽湖温泉旅游度假
区污水处理厂","天津东丽湖建设发展
有限公司",9112011068772061XM001W,0.4,124
217,天津市,市辖区,东丽区,"东丽开发区五纬路与
西河交口西南处","东丽开发区污水处理
厂","天津东丽经济技术开
发区总公司",91120110103728432G001R,0.25,49
218,天津市,市辖区,东丽区,"津塘公路十号桥李庄
工业区","天津钢管公司东丽排
水管理处污水处理厂","天津钢管公司东丽排
水管理处",12120110401254984G001Y,3,207.98
219,天津市,市辖区,东丽区,"华明工业园区弘顺道
以北","天津市东丽区华明高
新区污水处理厂","天津市东丽区华明高
新技术产业区管理委
员会",1212011068187073XN,0.15,32.07
220,天津市,市辖区,蓟州区,洇溜镇北六里屯西,"天津市蓟州区城区污
水处理厂","天津蓟源水处理有限
公司",91120225MA05LJ9Q8M001Z,6,1986.04
221,天津市,市辖区,蓟州区,仓桑公路33号,"蓟州区上仓污水处理
厂","天津天沧水务建设有
限公司",91120225086551099R001U,1,370.99
